1	|	1	|	R	|	0	|	root
10239	|	1	|	R1	|	1	|	Viruses
131567	|	1	|	R1	|	1	|	cellular organisms
2787854	|	1	|	R1	|	1	|	other entries
12333	|	10239	|	R2	|	2	|	unclassified bacterial viruses
12429	|	10239	|	R2	|	2	|	unclassified viruses
186616	|	10239	|	R2	|	2	|	environmental samples
2559587	|	10239	|	R2	|	2	|	Riboviria
2731341	|	10239	|	R2	|	2	|	Duplodnaviria
2731342	|	10239	|	R2	|	2	|	Monodnaviria
2732004	|	10239	|	R2	|	2	|	Varidnaviria
2840022	|	10239	|	R2	|	2	|	Adnaviria
2842242	|	10239	|	R2	|	2	|	Ribozyviria
3403061	|	10239	|	R2	|	2	|	Viruses incertae sedis
3412574	|	10239	|	R2	|	2	|	Singelaviria
2	|	131567	|	R2	|	2	|	Bacteria
2157	|	131567	|	R2	|	2	|	Archaea
2759	|	131567	|	R2	|	2	|	Eukaryota
28384	|	2787854	|	R2	|	2	|	other sequences
280702	|	12333	|	S	|	3	|	Mycoplasma phage phiMFV1
12877	|	12429	|	R3	|	3	|	unclassified satellites
159252	|	12429	|	S	|	3	|	Planaria asexual strain-specific virus-like element type 1
451344	|	12429	|	R3	|	3	|	unclassified archaeal viruses
1034806	|	12429	|	S	|	3	|	Mosquito VEM virus SDRBAJ
1297894	|	12429	|	S	|	3	|	Citrus yellow vein-associated virus
1398939	|	12429	|	S	|	3	|	Anopheline-associated C virus
1489714	|	12429	|	S	|	3	|	Tanay virus
1500510	|	12429	|	S	|	3	|	Halovirus VNH-1
1504733	|	12429	|	S	|	3	|	Papaya leaf curl Faisalabad virus
1519385	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-1
1519386	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-10
1519387	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-11
1519388	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-12
1519389	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-13
1519391	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-2
1519392	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-3
1519393	|	12429	|	S	|	3	|	Sewage-associated circular DNA virus-4
1542745	|	12429	|	S	|	3	|	Ancient caribou feces associated virus
1580607	|	12429	|	S	|	3	|	Magnaporthe oryzae RNA virus
1585924	|	12429	|	S	|	3	|	Arhar cryptic virus-I
1587517	|	12429	|	S	|	3	|	Black grass cryptic virus 2
1592828	|	12429	|	S	|	3	|	Rhizoctonia fumigata mycovirus
1608440	|	12429	|	S	|	3	|	Chimeric virus 14
1608451	|	12429	|	S	|	3	|	Phytophthora parasitica virus
1654356	|	12429	|	S	|	3	|	Thika virus
1676185	|	12429	|	S	|	3	|	Chimpanzee faeces associated circular DNA molecule 1
1678078	|	12429	|	S	|	3	|	Mollivirus sibericum
1678176	|	12429	|	S	|	3	|	Diatom colony associated dsRNA virus 16
1678208	|	12429	|	S	|	3	|	Rhizoctonia solani RNA virus HN008
1685724	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 1
1685725	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 10
1685726	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 11
1685727	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 2
1685728	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 3
1685729	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 4
1685730	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 5
1685731	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 6
1685732	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 7
1685733	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 8
1685734	|	12429	|	S	|	3	|	Lake Sarah-associated circular molecule 9
1685738	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-12
1685739	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-13
1685740	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-14
1685741	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-15
1685743	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-17
1685744	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-18
1685745	|	12429	|	S	|	3	|	Lake Sarah-associated circular virus-19
